nodeId:ID,name,level,:LABEL
000000,中国,Country,Country
110000,北京市,City,City
110101,东城区,District,District
110102,西城区,District,District
110105,朝阳区,District,District
110106,丰台区,District,District
110107,石景山区,District,District
110108,海淀区,District,District
110109,门头沟区,District,District
110111,房山区,District,District
110112,通州区,District,District
110113,顺义区,District,District
110114,昌平区,District,District
110115,大兴区,District,District
110116,怀柔区,District,District
110117,平谷区,District,District
110118,密云区,District,District
110119,延庆区,District,District
120000,天津市,City,City
120101,和平区,District,District
120102,河东区,District,District
120103,河西区,District,District
120104,南开区,District,District
120105,河北区,District,District
120106,红桥区,District,District
120110,东丽区,District,District
120111,西青区,District,District
120112,津南区,District,District
120113,北辰区,District,District
120114,武清区,District,District
120115,宝坻区,District,District
120116,滨海新区,District,District
120117,宁河区,District,District
120118,静海区,District,District
120119,蓟州区,District,District
130000,河北省,Province,Province
130100,石家庄市,City,City
130102,长安区,District,District
130103,桥西区,District,District
130104,新华区,District,District
130105,井陉矿区,District,District
130106,裕华区,District,District
130107,藁城区,District,District
130108,鹿泉区,District,District
130109,栾城区,District,District
130110,井陉县,District,District
130111,正定县,District,District
130112,行唐县,District,District
130113,灵寿县,District,District
130114,高邑县,District,District
130115,深泽县,District,District
130116,赞皇县,District,District
130117,无极县,District,District
130118,平山县,District,District
130119,元氏县,District,District
130120,赵县,District,District
130121,辛集市,District,District
130122,晋州市,District,District
130123,新乐市,District,District
130200,唐山市,City,City
130202,路南区,District,District
130203,路北区,District,District
130204,古冶区,District,District
130205,开平区,District,District
130207,丰南区,District,District
130208,丰润区,District,District
130209,曹妃甸区,District,District
130224,滦南县,District,District
130225,乐亭县,District,District
130227,迁西县,District,District
130229,玉田县,District,District
130281,遵化市,District,District
130283,迁安市,District,District
130284,滦州市,District,District
130300,秦皇岛市,City,City
130302,海港区,District,District
130303,山海关区,District,District
130304,北戴河区,District,District
130306,抚宁区,District,District
130321,青龙满族自治县,District,District
130322,昌黎县,District,District
130324,卢龙县,District,District
130400,邯郸市,City,City
130402,邯山区,District,District
130403,丛台区,District,District
130404,复兴区,District,District
130406,峰峰矿区,District,District
130407,肥乡区,District,District
130408,永年区,District,District
130423,临漳县,District,District
130424,成安县,District,District
130425,大名县,District,District
130426,涉县,District,District
130427,磁县,District,District
130430,邱县,District,District
130431,鸡泽县,District,District
130432,广平县,District,District
130433,馆陶县,District,District
130434,魏县,District,District
130435,曲周县,District,District
130481,武安市,District,District
130500,邢台市,City,City
130502,襄都区,District,District
130503,信都区,District,District
130505,任泽区,District,District
130506,南和区,District,District
130522,临城县,District,District
130523,内丘县,District,District
130524,柏乡县,District,District
130525,隆尧县,District,District
130528,宁晋县,District,District
130529,巨鹿县,District,District
130530,新河县,District,District
130531,广宗县,District,District
130532,平乡县,District,District
130533,威县,District,District
130534,清河县,District,District
130535,临西县,District,District
130581,南宫市,District,District
130582,沙河市,District,District
130600,保定市,City,City
130602,竞秀区,District,District
130606,莲池区,District,District
130607,满城区,District,District
130608,清苑区,District,District
130609,徐水区,District,District
130623,涞水县,District,District
130624,阜平县,District,District
130626,定兴县,District,District
130627,唐县,District,District
130628,高阳县,District,District
130629,容城县,District,District
130630,涞源县,District,District
130631,望都县,District,District
130632,安新县,District,District
130633,易县,District,District
130634,曲阳县,District,District
130635,蠡县,District,District
130636,顺平县,District,District
130637,博野县,District,District
130638,雄县,District,District
130681,涿州市,District,District
130682,定州市,District,District
130683,安国市,District,District
130684,高碑店市,District,District
130700,张家口市,City,City
130702,桥东区,District,District
130703,桥西区,District,District
130705,宣化区,District,District
130706,下花园区,District,District
130708,万全区,District,District
130709,崇礼区,District,District
130722,张北县,District,District
130723,康保县,District,District
130724,沽源县,District,District
130725,尚义县,District,District
130726,蔚县,District,District
130727,阳原县,District,District
130728,怀安县,District,District
130730,怀来县,District,District
130731,涿鹿县,District,District
130732,赤城县,District,District
130800,承德市,City,City
130802,双桥区,District,District
130803,双滦区,District,District
130804,鹰手营子矿区,District,District
130821,承德县,District,District
130822,兴隆县,District,District
130824,滦平县,District,District
130825,隆化县,District,District
130826,丰宁满族自治县,District,District
130827,宽城满族自治县,District,District
130828,围场满族蒙古族自治县,District,District
130881,平泉市,District,District
130900,沧州市,City,City
130902,新华区,District,District
130903,运河区,District,District
130921,沧县,District,District
130922,青县,District,District
130923,东光县,District,District
130924,海兴县,District,District
130925,盐山县,District,District
130926,肃宁县,District,District
130927,南皮县,District,District
130928,吴桥县,District,District
130929,献县,District,District
130930,孟村回族自治县,District,District
130981,泊头市,District,District
130982,任丘市,District,District
130983,黄骅市,District,District
130984,河间市,District,District
131000,廊坊市,City,City
131002,安次区,District,District
131003,广阳区,District,District
131022,固安县,District,District
131023,永清县,District,District
131024,香河县,District,District
131025,大城县,District,District
131026,文安县,District,District
131028,大厂回族自治县,District,District
131081,霸州市,District,District
131082,三河市,District,District
131100,衡水市,City,City
131102,桃城区,District,District
131103,冀州区,District,District
131121,枣强县,District,District
